PMID;Triage classification
10949689;negative
16658784;negative
23082751;negative
20623432;negative
8964516;negative
9602631;negative
11210150;positive
15479235;negative
4364140;negative
4281647;negative
11714342;negative
15518345;negative
14646097;negative
14646097;negative
7844703;negative
9537764;negative
5808702;negative
17388645;negative
19674110;negative
18943277;negative
8196639;negative
23896443;negative
23285046;positive
7729670;negative
9627984;negative
15927931;negative
24414906;negative
8806739;negative
8391537;negative
9469756;negative
2379812;negative
16667971;negative
19575195;positive
17345128;positive
24296079;negative
21798867;negative
21656807;negative
22425594;negative
848950;negative
17665191;positive
5812971;negative
7764387;negative
8633877;negative
9299781;negative
8519794;positive
24315640;negative
11472949;negative
22128148;negative
7536675;negative
9691450;negative
16209108;negative
9797302;negative
17594469;negative
33149;negative
23271623;negative
22367944;negative
15066785;negative
22169180;negative
10620777;negative
3545943;negative
23622347;negative
18852512;negative
12623067;positive
9070379;negative
405328;negative
18616181;negative
17690465;negative
22313372;negative
15168093;negative
5107227;negative
12898712;negative
2504155;negative
16599567;negative
18680769;negative
6434508;negative
8285672;negative
22595090;negative
22985601;negative
12619703;negative
8670100;positive
9058682;negative
23220961;negative
12603317;negative
15749052;negative
5781574;negative
21549049;negative
3030517;negative
23656873;negative
8524797;positive
16232670;positive
19703229;negative
23409143;negative
8764988;negative
22112821;negative
6470680;negative
15304761;negative
2085388;negative
440399;negative
22524557;negative
17502271;negative
8590475;negative
21943248;negative
17021873;positive
7793932;negative
20691783;negative
1551872;negative
20467244;negative
8381338;negative
14627738;negative
22922772;negative
9367654;negative
22527621;negative
20544965;negative
9108273;negative
23548272;negative
95240;negative
16646531;negative
20067152;negative
1900062;negative
7789795;positive
24433677;negative
728849;negative
21906369;negative
16333341;negative
19090038;negative
12729604;negative
4062894;negative
18434138;negative
11714724;negative
11500217;negative
12445478;negative
17235482;negative
20373916;negative
24035020;negative
22799212;negative
22290653;negative
20647679;positive
20406672;positive
2548922;negative
9084209;negative
14767676;negative
1368193;positive
19805272;negative
1644287;negative
15128512;negative
18065558;negative
21442271;positive
15283239;negative
15033937;negative
22689961;negative
16039872;positive
19996679;positive
17115208;positive
11911612;negative
23107704;positive
12889828;negative
14992861;negative
19697016;negative
12501406;negative
20422178;negative
3327914;negative
1854201;negative
10679005;negative
9608522;negative
10361719;negative
5969292;negative
11178973;negative
10725170;negative
11525619;negative
5418942;negative
1238127;negative
15937722;negative
12653995;negative
22684857;positive
23988521;negative
10959559;negative
13129294;negative
19719847;negative
3268297;negative
8948429;positive
20387464;negative
1576482;negative
17768652;negative
19934038;negative
22218809;negative
22940347;negative
8458831;negative
9291623;negative
23597920;positive
21539585;negative
15184164;negative
558183;negative
19780949;negative
23429923;negative
18216571;negative
11319115;positive
5689833;negative
15960748;negative
15296185;negative
19100826;negative
9466262;negative
16342535;negative
7690393;negative
10503533;negative
15928849;negative
16978358;negative
1832939;negative
24031818;negative
23356577;positive
23313674;negative
21688039;negative
15234521;negative
19734326;negative
1781689;negative
21784921;negative
8010668;negative
23508400;negative
1592808;positive
18557783;negative
5808701;negative
22754023;positive
9720217;negative
10540205;negative
8075420;negative
18973283;negative
12894484;negative
3042773;negative
21319457;negative
22216217;negative
308842;negative
1103165;negative
19099459;negative
10230019;negative
7196365;negative
2155864;negative
4475614;negative
23020548;negative
2377893;negative
16249876;negative
8857272;negative
6777367;negative
18944813;positive
10869365;negative
20630753;negative
18062191;negative
24263941;negative
15453678;negative
22535444;negative
8787417;positive
11016614;negative
1639777;negative
19123452;negative
3313002;negative
22791138;negative
22985967;negative
18949755;negative
7066427;negative
10849840;negative
22634043;negative
24416614;negative
9010760;negative
2087205;negative
10992492;negative
9308367;negative
7750151;positive
3091028;negative
17589813;negative
22093976;negative
24258791;negative
15988573;positive
22194294;negative
23091162;negative
11964688;negative
19709307;negative
19962718;negative
6413830;negative
24150040;negative
9421900;negative
23166747;negative
16825450;negative
10022948;negative
14871655;negative
23251523;negative
1900250;negative
8611747;negative
12099523;negative
20970816;negative
19473250;positive
8919793;negative
22349190;positive
10377107;negative
19884778;negative
21626020;positive
10913188;negative
9204516;negative
21340036;negative
11732688;negative
20943381;negative
13917;negative
23054705;negative
10411622;negative
7763442;negative
8678298;negative
14553935;negative
15063624;negative
11071951;negative
4850991;negative
2317193;negative
18668421;negative
21268047;negative
23617724;negative
12449642;negative
9495778;negative
9535889;negative
22265304;negative
18163575;negative
19761490;negative
1383159;negative
19962399;negative
9235163;negative
22852807;negative
18467877;negative
22112279;negative
3551915;negative
12657806;negative
17229143;positive
12504909;negative
7549768;negative
19769746;negative
7592838;negative
18359224;negative
2294974;negative
20602653;negative
9406381;positive
19592259;negative
17449691;negative
23959872;negative
11707619;negative
4684597;negative
21466636;negative
20139594;negative
22578178;negative
22483046;negative
19203649;negative
4640356;negative
18944734;negative
24140149;negative
826331;negative
19342787;negative
15019236;negative
20030048;negative
3662523;negative
9634583;negative
24188833;negative
2152162;positive
16668770;negative
1934134;negative
2107875;negative
710680;negative
16887562;negative
11102532;negative
18943645;negative
15541293;positive
19270979;negative
22412805;negative
24175970;negative
10427696;negative
18180153;negative
11328490;negative
17373647;negative
23289754;negative
18553736;negative
8181749;negative
10684939;negative
11856298;negative
20886742;negative
1475183;negative
20221730;negative
23759433;negative
23393585;negative
7890638;negative
19277745;negative
20237199;negative
507620;negative
2037232;negative
19097997;negative
956146;negative
17151461;positive
11133422;negative
8436950;positive
8757730;negative
23461515;negative
16861810;negative
241997;negative
21167225;negative
23333949;negative
15304748;negative
5534499;negative
5823495;negative
24246269;negative
8756392;positive
8519779;negative
20455032;negative
23889751;negative
16374635;positive
18989;negative
12489121;negative
16346375;negative
9726123;negative
12715256;negative
8593683;positive
23436287;negative
6863431;negative
18553487;negative
22231654;negative
8424790;negative
10669402;negative
9639928;negative
18338189;negative
14222748;negative
4549386;negative
22884703;negative
23835302;negative
23499103;negative
18408067;negative
17597340;positive
10475745;negative
24031929;negative
1317007;negative
1317007;negative
23811512;negative
8458852;negative
21465179;negative
24429995;negative
12162562;positive
24425333;negative
23900618;negative
15686849;positive
3036644;negative
22200052;negative
17057348;negative
2216737;negative
15978991;negative
10945270;negative
23100518;negative
10424099;negative
1369024;positive
15862318;negative
21148948;negative
9776817;negative
16668004;negative
10759850;negative
23434807;negative
17184338;negative
8929394;positive
18951782;negative
22796724;negative
19073263;negative
11166820;negative
20154467;negative
12920607;negative
3923299;negative
10491168;positive
22043279;negative
18661301;negative
12467477;negative
12210222;negative
12297669;negative
4478279;negative
34949;negative
17705786;negative
7620815;negative
9514754;positive
11750831;negative
7765235;negative
24331598;negative
23412069;positive
16697346;negative
1922192;negative
9301101;negative
8452541;negative
21510637;negative
237002;negative
6008098;negative
23251593;negative
11272822;negative
11272822;negative
19880540;negative
17974237;negative
19619651;negative
10849173;negative
22309761;positive
11429475;negative
15649772;negative
22102024;negative
23790932;negative
9373940;negative
15560140;negative
15560140;negative
16496115;negative
7493964;positive
1268329;negative
1268329;negative
15623039;negative
8550012;negative
17615009;negative
23410931;positive
18809304;negative
12627400;negative
22683794;negative
16346831;negative
16349528;positive
22919467;negative
22080346;negative
24076077;negative
17977149;negative
11722942;negative
962468;negative
6891886;negative
23069603;negative
8377206;negative
16620625;negative
1429462;positive
22949265;negative
22340848;positive
372028;negative
20445976;negative
24412956;negative
6765603;positive
2670282;negative
12702349;negative
23066798;negative
16685742;negative
6300031;negative
23917633;negative
21861372;negative
11737205;positive
17302431;negative
24128930;negative
20227480;negative
16758169;negative
8900004;positive
24055682;negative
2628172;negative
24425573;negative
7194;negative
5691120;negative
15456402;negative
10972191;negative
7640307;positive
3516795;negative
22238011;negative
23937250;negative
22453806;negative
1281180;negative
19840850;negative
21048401;negative
583274;negative
24010038;negative
12232663;negative
17512710;negative
21048871;negative
24388530;negative
235257;negative
15341651;negative
11795847;positive
20851126;negative
22422933;negative
16349123;negative
14993691;negative
4018386;negative
3909967;negative
23152805;negative
18825279;negative
15212801;negative
8830045;positive
18192051;negative
20159568;positive
8698653;positive
20014432;negative
16719505;negative
14673545;negative
14633044;negative
21334308;negative
18597050;negative
15597736;negative
7050669;negative
18408068;positive
9435085;negative
22112956;positive
484118;negative
21602376;negative
17436627;negative
9463945;positive
19899079;negative
3109376;negative
1392588;negative
3837179;negative
18294137;negative
17225100;negative
10610795;negative
19088319;positive
9852385;negative
10662860;negative
9133641;negative
15920273;negative
21318368;negative
22476551;negative
2757193;negative
11357511;positive
24349958;negative
16233459;negative
20695214;negative
19455521;negative
20181208;negative
11913764;negative
12137913;negative
15522500;negative
7632404;negative
24430239;negative
7765573;negative
21466666;negative
18804059;negative
17577997;negative
15130150;negative
12111743;negative
8139556;negative
15314176;negative
2125957;positive
9400483;negative
23572953;negative
16347742;negative
20682343;negative
16657425;negative
16657425;negative
23519806;negative
22203550;negative
18987860;negative
2121133;negative
44415;negative
19151184;negative
18813924;negative
6209559;negative
20547381;positive
962920;negative
14768028;negative
8684426;negative
1101979;negative
15136043;negative
7763727;negative
2503710;negative
20674735;negative
2785629;negative
11847251;negative
9076936;negative
1041692;negative
1041692;negative
19453169;positive
11049740;negative
19669227;negative
22102697;negative
22733581;negative
22182583;negative
22815939;negative
8220206;negative
32833;positive
19418231;negative
16328738;negative
10976313;negative
14735218;negative
17506831;negative
23263965;positive
22409979;negative
20696574;negative
19087463;negative
22736599;negative
12440775;negative
22212435;negative
9075620;negative
15057476;negative
20817594;negative
16233248;negative
22512653;negative
16128029;negative
18291544;negative
18850325;negative
10681571;negative
16356847;negative
21402188;negative
24077704;negative
22654171;negative
8065265;positive
12226210;negative
22076694;negative
20213103;negative
21156059;negative
8920899;negative
23097144;negative
23227186;negative
7556193;negative
23124755;negative
24237246;negative
20331423;negative
8495441;negative
12530525;negative
11872116;negative
12753245;negative
8987533;negative
6422823;negative
8952478;negative
18377882;positive
21776033;negative
16668702;negative
23053096;negative
20702089;negative
11257513;positive
20980042;negative
12071852;positive
7574642;positive
21626207;negative
22095443;negative
1239235;negative
15560140;negative
11782497;negative
17952442;negative
21223324;negative
23265820;negative
11404322;negative
17928959;positive
12039719;negative
2493265;negative
7865792;negative
16820757;negative
4269377;negative
12216836;negative
6209930;negative
8480994;negative
12679849;negative
10052131;negative
17273823;negative
11960986;negative
10089338;negative
12890613;negative
12721414;negative
15782637;negative
22112414;negative
21635140;negative
1368777;positive
3042508;negative
20951406;negative
11149149;negative
1547940;negative
9990729;positive
11193399;positive
15746359;negative
11331584;negative
20023149;negative
9459293;negative
19445185;negative
18082420;negative
23489323;negative
23247825;negative
6790386;negative
9753433;negative
17881256;negative
11438761;negative
11438761;negative
24688660;negative
7925367;negative
8374618;negative
7729761;negative
24193699;negative
20888616;negative
9202190;negative
8920187;negative
23625219;negative
18810533;negative
12767807;positive
8987622;positive
8509335;positive
23033684;negative
8439872;negative
9772752;negative
22940311;positive
23292244;positive
7766156;negative
4674624;negative
6685532;negative
6772150;negative
24004614;negative
1909591;negative
9830095;negative
15054207;negative
22870287;negative
19269588;negative
5387561;negative
10481063;negative
11849507;positive
19444464;negative
2111732;negative
1657419;negative
1657419;negative
19759864;negative
16348324;negative
23361183;negative
11043466;negative
1450378;negative
19412609;negative
9179293;negative
15182839;negative
20306191;negative
22961332;negative
4305157;negative
9878550;negative
15188885;negative
10882531;negative
21507555;negative
15215590;negative
7975894;negative
21482127;negative
15632433;negative
7859305;positive
19801419;negative
9061031;negative
23784776;negative
570860;negative
20569406;negative
22985087;negative
21234787;negative
18663522;negative
15841240;negative
11272833;negative
15296186;negative
15288024;negative
22678824;negative
7487098;negative
21840970;negative
17479220;negative
18031332;negative
20303251;negative
7620809;negative
7735107;negative
18944733;negative
22846889;positive
22780886;negative
11325554;negative
12423759;negative
22796096;negative
18620557;negative
17594485;negative
14740190;negative
4093442;negative
7764056;positive
10424901;negative
9830143;negative
11270816;negative
10101286;positive
7642129;negative
19253284;negative
8355617;negative
1406643;negative
20143229;negative
15469730;positive
16243455;negative
7592488;positive
18848636;negative
17851776;negative
22805796;negative
20920617;negative
2113405;negative
12021790;negative
9464412;negative
22086563;negative
22554348;negative
22036290;negative
23647126;negative
18511187;negative
16202538;positive
16232740;positive
4412133;negative
9650250;negative
1420277;positive
22359214;negative
8540419;negative
16205953;negative
2757372;negative
17018254;negative
4940550;negative
8434909;negative
23399420;negative
10347017;negative
8898395;negative
10830894;negative
21622642;negative
16183021;negative
8075794;negative
22042431;negative
13179146;negative
15635463;negative
20455075;negative
15239699;negative
15943106;negative
17492474;negative
19267236;negative
18800599;positive
1369269;negative
22704217;negative
15362979;negative
23616783;negative
862201;negative
4790623;negative
10075414;negative
19093150;negative
24348166;negative
14871661;negative
10802187;positive
12407460;negative
16347492;negative
18327607;negative
6068064;negative
22490508;negative
10620717;negative
1326415;negative
1326415;negative
7608023;negative
8477731;positive
22971569;negative
18198834;negative
10938423;negative
22192075;negative
22145993;negative
10939261;negative
14665735;positive
11857;negative
16407250;negative
15304348;negative
44414;negative
11112513;negative
11251832;negative
22159609;negative
12920506;negative
9649748;negative
4780741;negative
3314909;negative
20812132;negative
19850146;negative
21616151;negative
21543515;negative
17277884;positive
8464071;negative
2995959;negative
8856078;positive
6167499;negative
3517864;negative
3025649;negative
21436319;negative
2425654;negative
10222181;positive
16177334;negative
16247673;negative
16657049;negative
8081497;negative
3140799;negative
17818500;negative
4609307;negative
550656;negative
49849;negative
22085311;negative
560832;negative
22608742;negative
18694928;negative
23305326;negative
18346891;positive
22644766;negative
10613891;negative
17253723;negative
1032996;negative
14970631;negative
23057506;negative
18820080;negative
31203;negative
19908331;negative
19054103;positive
15500988;positive
16349883;negative
16474906;positive
10686151;negative
10686151;negative
1644307;negative
8132657;negative
361685;negative
18553683;negative
23915965;negative
12744513;negative
15757176;positive
23245543;negative
23892828;negative
15485921;negative
22835655;positive
10594100;negative
22806786;negative
23410928;negative
23115510;negative
19307582;negative
2001691;negative
18155243;negative
4833510;negative
23714098;negative
23931690;negative
14480014;negative
6196946;negative
23374631;negative
9308184;negative
2261987;negative
1611560;negative
6965247;negative
3316986;negative
19428727;negative
20467747;negative
23451229;negative
21505251;negative
16704416;negative
22927643;negative
9184840;negative
19898963;negative
22981621;negative
4672572;negative
16775790;negative
2116411;negative
12449800;negative
10525153;positive
8177888;negative
22799754;negative
2673277;negative
22687329;negative
11822381;negative
11929215;negative
11417392;negative
16337707;negative
9382490;negative
8314793;negative
11315758;negative
10963707;negative
11106022;negative
2182377;negative
23512640;negative
17430975;negative
19519976;negative
23871048;negative
23450755;negative
6784113;negative
23382985;negative
16657425;negative
10653750;negative
10931947;negative
10191391;negative
9002269;negative
10945680;negative
24031819;negative
7987261;positive
16028202;negative
22915822;negative
18975073;negative
1479358;positive
24227337;negative
3124698;negative
7548622;negative
10737142;negative
8988359;negative
16934902;negative
9435084;negative
12448733;negative
10589717;negative
20869235;negative
8765754;negative
12026170;negative
2108020;negative
17664063;positive
6774807;negative
23073100;negative
17701287;negative
17168295;negative
1369021;negative
22206938;negative
17419071;positive
14524699;positive
20675115;negative
8590644;negative
3130804;negative
1240816;negative
12619825;negative
9020869;negative
7023082;negative
15692853;negative
11956748;positive
15845406;negative
19202090;positive
11956747;negative
19479322;negative
20466648;negative
7646037;positive
10773444;negative
22218767;negative
12381136;negative
857507;negative
9535180;negative
20194103;negative
22992733;negative
10092840;positive
1970434;positive
7197252;negative
13276869;negative
11678283;negative
14469205;negative
19187498;negative
2370277;negative
17916074;negative
21965406;positive
23201198;negative
23108618;negative
9449777;negative
23292745;negative
9140977;positive
18314348;negative
15812658;negative
18424542;negative
9617819;negative
12878051;negative
1648007;negative
12932365;negative
8951380;negative
9692967;negative
8710886;negative
4737371;negative
9501415;negative
1826090;negative
15054209;positive
2997745;negative
21556691;negative
10022947;negative
19110429;negative
11745178;negative
11745178;negative
22112620;negative
10481288;negative
24385885;negative
18558450;negative
20039188;negative
9118231;negative
23101390;positive
3932329;negative
19330548;negative
9208222;negative
16944346;negative
8647081;positive
17496965;negative
23508952;positive
23451186;negative
23530973;negative
16453672;negative
11471729;positive
6686646;negative
11514096;negative
10970846;negative
22407679;negative
13677464;negative
8695063;negative
16041128;positive
23436225;negative
17587693;negative
21726866;negative
4623233;negative
16713256;negative
20567818;negative
23450203;negative
8625430;positive
1628837;negative
5053881;negative
15347764;negative
3329048;negative
23665188;negative
20084296;negative
7875558;negative
23994224;negative
1512706;negative
19809198;negative
15170238;negative
15054260;negative
18804353;negative
10805791;negative
889389;negative
12818193;negative
10029988;positive
24479319;negative
19456971;negative
2629784;negative
21273336;negative
22806189;negative
17827332;negative
20220789;negative
16732459;negative
12744465;negative
15494009;negative
22609669;negative
20602179;negative
22897832;negative
1368254;positive
12755631;negative
23256784;negative
6360862;negative
9335168;positive
16339718;negative
24425276;negative
16328626;positive
20383603;negative
9403108;negative
11212916;negative
11212916;negative
1190637;negative
15932985;negative
11734885;negative
15125965;negative
24213479;negative
4426701;negative
22280347;negative
18308529;negative
16151802;negative
9866173;negative
21344231;positive
10583968;negative
15502369;negative
10455498;negative
10455498;negative
22559172;negative
9648215;positive
4737379;negative
11494757;negative
24031982;negative
23102010;negative
24415099;negative
8277260;negative
22132219;negative
21671092;negative
17145041;negative
17995733;negative
17178246;negative
23796490;negative
16701547;negative
21687577;negative
12363086;negative
10689;negative
14735222;positive
6435476;negative
11408216;negative
18574585;negative
23237452;negative
16121227;negative
1610176;negative
6540443;negative
19596709;negative
10347026;positive
14871663;negative
23273185;negative
15372306;negative
2510150;positive
16568317;negative
17444605;negative
10747226;negative
1416881;negative
23589840;negative
22209690;negative
24201422;negative
15164362;negative
16162243;negative
10944353;negative
15597746;negative
16306682;negative
17614952;negative
23768357;negative
8611759;negative
7705606;negative
19877427;negative
23504080;negative
15749047;negative
22884651;negative
16233143;negative
8984474;negative
16473771;positive
6321448;negative
17092334;negative
16212036;negative
8929279;negative
15451115;negative
24100144;negative
19279806;negative
16412083;negative
22683546;negative
15871037;negative
16666142;negative
24549347;negative
17022171;negative
20562284;positive
16366715;negative
12881405;negative
15998305;negative
22017574;negative
12073090;positive
16667522;negative
18971363;negative
2535539;negative
7639733;negative
4580792;negative
23537284;positive
20346373;negative
16198585;negative
23045503;negative
3246351;positive
18076379;negative
22707073;negative
23410930;negative
8264536;negative
12687490;negative
6403443;negative
21655220;negative
9726860;negative
9872754;positive
18548669;positive
18480250;negative
10787047;negative
11010874;negative
10862890;negative
21339977;negative
10467123;negative
503102;negative
24031985;negative
14741374;negative
19505807;negative
8753654;negative
22854183;negative
18952064;negative
13159273;negative
5418105;negative
16129506;positive
23770555;negative
1102846;negative
22583119;negative
19784554;positive
11223945;negative
15328766;negative
22678130;negative
17130296;negative
2848632;negative
23226882;negative
23504189;negative
17322210;negative
11069006;negative
10071521;negative
22691175;negative
23299456;positive
23131126;negative
11478902;negative
8713082;negative
7145876;negative
22100233;negative
1454688;negative
10586500;negative
16346254;negative
22964851;negative
10323234;negative
8549811;negative
5951;negative
9255982;negative
10434062;negative
15136043;negative
15136043;negative
10504569;negative
21849025;negative
14642815;positive
18460787;negative
15589653;negative
12790630;negative
11756444;negative
2310186;negative
22085593;negative
20799086;negative
20406453;negative
23796604;negative
10209765;negative
3949269;negative
2789162;negative
14625898;negative
9153432;negative
8910335;negative
15380555;negative
23095575;negative
11273698;negative
14506858;negative
830646;negative
7527628;negative
6777040;negative
19140418;negative
7049163;negative
21535524;negative
16415209;negative
16396247;negative
16313649;negative
16431275;positive
10867946;negative
12387863;negative
8975597;positive
20699551;negative
14688277;negative
15555940;positive
24197466;negative
3156122;negative
17087475;negative
350852;negative
4798425;negative
13924609;negative
3935049;negative
8400378;negative
23334282;positive
23431975;negative
15175686;negative
18944230;negative
19389762;negative
22805805;negative
2277031;positive
12743752;positive
14593919;negative
14593919;negative
12543554;positive
1511691;positive
18501723;negative
14981306;negative
18298954;negative
12365459;negative
20064285;negative
1122913;negative
22451079;negative
19692234;negative
24425133;negative
15381976;negative
20873228;negative
6812652;negative
2112428;negative
21808052;negative
8488161;negative
21998163;negative
23937585;negative
11471744;negative
22831905;negative
17313520;negative
23470772;negative
12713539;negative
22328249;negative
12447230;negative
17981782;negative
12589443;negative
21535352;negative
15294847;negative
399317;negative
18301900;negative
17896135;negative
21156511;negative
22373601;negative
12577587;negative
11860266;negative
23830995;negative
24417112;negative
18350386;negative
7485973;negative
1044284;negative
6327611;negative
22101785;positive
10472796;negative
9177963;negative
22982017;negative
12529155;negative
21090260;negative
16269743;negative
10849827;negative
16235723;negative
17483939;negative
22270358;negative
8987553;positive
22783136;negative
15644928;negative
18467873;negative
24286790;negative
1547861;negative
9654123;positive
2070799;positive
15749052;negative
15749052;negative
18331790;negative
10747150;negative
6954495;negative
23624166;negative
2995925;negative
11931668;positive
7628950;negative
19021791;negative
23306886;negative
9931263;negative
8987657;negative
21421791;negative
18233;negative
19704507;negative
1476366;negative
15571068;negative
18635283;negative
9532788;negative
8018873;negative
17036750;negative
12513977;negative
7197155;negative
11822834;negative
16396108;negative
21452825;negative
7668048;negative
19447952;negative
21269876;negative
16784880;negative
23199732;positive
1599951;negative
9629604;negative
7412854;negative
12619670;negative
7757111;negative
22447608;negative
23224497;negative
23280599;negative
24184384;negative
21314954;negative
21232645;negative
7725802;negative
20703955;negative
18053205;negative
23732694;negative
11582548;negative
1952950;positive
20656867;negative
11004397;positive
9683648;negative
19134557;negative
19395258;negative
2450787;negative
7787175;negative
18031531;negative
440400;negative
21914823;negative
14593866;negative
23288594;negative
12957952;negative
9168616;negative
16461646;negative
6771250;negative
405048;negative
22265982;negative
22405828;negative
9449766;negative
24069314;negative
13316573;negative
23185612;negative
6751259;negative
9757570;negative
11179652;negative
18450486;negative
23157299;negative
9972263;negative
21968902;negative
15116342;negative
17149640;negative
16667295;negative
16487309;negative
22178339;negative
21890350;negative
11067752;negative
15193129;negative
22215071;negative
9742698;positive
1225521;negative
12671080;negative
8920185;negative
845158;negative
24049480;negative
15753300;negative
8563148;negative
12145937;negative
1496378;negative
9371889;positive
11180071;negative
19160456;negative
21491985;negative
24085303;negative
10906953;negative
6796045;negative
4988636;negative
18406638;negative
8454341;negative
11958935;negative
22950684;negative
383915;negative
16630270;negative
11714353;negative
12788724;negative
1368253;negative
19544571;negative
22485213;negative
19884003;negative
21573993;negative
19840115;negative
11297785;negative
23213539;negative
7592374;positive
22110134;negative
10564469;negative
10564469;negative
15313578;negative
15313578;negative
9649741;negative
12882299;negative
2187435;positive
23587418;negative
14988022;positive
9076736;negative
7766233;negative
20354693;negative
14615854;negative
1320186;positive
21306947;positive
22578542;negative
10698773;negative
1903721;negative
21564341;negative
10806354;negative
16757052;negative
16535160;negative
560711;negative
14593867;negative
17978802;negative
11829749;positive
8440481;positive
21553045;negative
14704857;negative
401863;negative
14993671;negative
22210154;negative
22921519;negative
12199698;negative
22743589;negative
17218123;negative
10612723;negative
20943535;negative
1815765;negative
22318886;negative
21049291;negative
8464862;negative
7670182;positive
18641704;negative
16345755;negative
15843143;negative
23683924;negative
427653;negative
14763977;negative
8513339;negative
15094199;negative
10572260;positive
20543062;negative
17662722;negative
22573272;negative
17549471;positive
11925050;negative
14519993;negative
23590573;negative
22653604;positive
16283313;negative
20077114;positive
23152614;negative
10966076;negative
24021641;negative
9546185;positive
10671457;negative
1630461;negative
1630461;negative
17662982;negative
1400187;negative
9805373;positive
16468342;negative
2103473;negative
22446315;negative
21971507;negative
16830773;negative
15684295;negative
17110964;negative
22586463;negative
1506028;negative
23898996;negative
23979812;negative
15358520;negative
3309160;negative
22684364;negative
16849719;negative
21223334;negative
11311718;negative
6809504;negative
16783565;negative
15203253;negative
2195025;negative
22579939;negative
649570;negative
23149715;negative
17720633;negative
22764072;negative
8000004;negative
11722918;negative
17029984;negative
21920035;positive
7952191;negative
18294194;negative
11958335;negative
1426561;negative
1835496;negative
14506855;negative
11566605;negative
21377353;negative
24007329;negative
21897016;positive
1888892;negative
575710;negative
18945056;negative
94494;negative
22354955;negative
11942079;negative
19277742;positive
18679722;negative
19661691;positive
23786663;negative
22036533;positive
21705527;negative
19540109;negative
20881013;negative
23840414;negative
18982415;negative
1368749;negative
23330392;positive
24252625;negative
17602567;negative
4210344;negative
16219783;negative
16380244;negative
24414501;negative
6441501;negative
8521964;negative
19617364;negative
19220468;negative
8789335;negative
16511025;negative
9550700;negative
22728789;negative
18550352;positive
804319;negative
2076554;positive
12437301;negative
8804409;negative
9514763;negative
8349103;negative
16890413;negative
5040218;negative
7896713;positive
22112514;negative
14532063;positive
9828459;negative
3555493;negative
23688474;negative
240849;negative
9133736;negative
15983011;negative
2500339;negative
19336219;negative
20933405;negative
10941523;negative
17092709;negative
24031719;negative
22579384;negative
8807803;negative
417727;negative
10501004;negative
22082447;negative
18830826;negative
16115695;negative
10989179;negative
19527927;positive
16593482;negative
8850131;negative
12723619;positive
15240832;negative
12750855;negative
4771034;negative
23826286;negative
2693599;negative
22915152;negative
18454138;negative
6174962;negative
19707752;negative
19568746;negative
15909137;negative
8814223;negative
21253720;negative
23365723;negative
11322730;negative
23837567;negative
20069626;negative
14595525;negative
2508563;negative
20648561;negative
6686803;negative
1207723;negative
9042753;negative
23604561;negative
6420649;negative
21076917;negative
17953595;negative
15032844;negative
4449500;negative
15290142;negative
23240568;positive
12520085;negative
11131385;negative
18307344;negative
360056;negative
10865898;negative
8564542;negative
1648007;negative
1648007;negative
6984129;negative
21549163;negative
11327866;negative
10322006;negative
10377251;positive
9406391;positive
21695121;negative
24280385;negative
21732246;negative
23903903;negative
21790031;negative
16553845;negative
10564003;negative
11336174;negative
18298045;negative
18835993;negative
11388486;negative
18936994;negative
11064202;negative
20150979;negative
15459652;negative
12226497;negative
20397060;negative
12435269;positive
1368719;negative
15629130;positive
2148935;negative
17031034;negative
1592244;negative
24426111;negative
8962147;negative
20884367;negative
11477110;negative
1122428;negative
15840932;negative
7075866;negative
11142407;negative
21878653;negative
16232985;negative
21861877;negative
7765105;negative
12244263;negative
8111037;negative
4430785;negative
18563407;positive
4040855;negative
16159614;negative
11800267;negative
16509822;positive
7412603;negative
23865052;negative
12167545;negative
8385051;negative
20727822;positive
10665422;negative
22305540;negative
12215508;negative
2249253;negative
20724213;negative
23175782;negative
22935226;negative
15797725;negative
12146641;negative
9169553;negative
19414054;negative
20127235;negative
23047100;negative
18266354;negative
10755472;negative
23199738;positive
15280227;negative
20586296;negative
12775215;negative
8439291;negative
23835170;negative
19747102;negative
21494625;negative
24459841;negative
7502577;negative
8978094;negative
10705453;negative
19783787;negative
7197888;negative
7975892;negative
24184421;negative
16535409;negative
10933800;negative
10933800;negative
11191206;negative
10810146;negative
2835655;negative
19910410;negative
12883866;negative
19379821;negative
21290589;negative
21087492;negative
19593671;negative
19780823;negative
4736235;negative
414448;negative
7364713;negative
8736124;negative
22432613;negative
10583968;negative
10583968;negative
16944135;positive
12828211;negative
16183160;negative
8572698;positive
18229890;negative
22260051;negative
21414775;negative
15666544;negative
23561301;negative
11549021;negative
22587950;negative
16209542;negative
7744822;negative
19393602;positive
3939312;negative
22112904;negative
8467537;negative
3707549;negative
9165759;negative
22490823;negative
6271064;negative
20097739;negative
1268329;negative
6109563;negative
21536481;negative
23394294;negative
18720841;positive
1907139;negative
9846753;negative
23455027;negative
1597433;negative
19194005;negative
20838850;negative
21632240;negative
8039649;negative
15321672;negative
17916112;negative
16622067;negative
23280774;negative
23718001;negative
20648749;negative
22178429;negative
7971981;positive
19136572;negative
14673787;negative
22393784;negative
9852114;negative
21953214;negative
12665550;positive
12594027;positive
20459124;negative
11281712;negative
21736263;negative
10224035;negative
22460593;negative
9506837;positive
18499583;negative
1726620;negative
7756855;negative
14500708;negative
24319968;negative
12812063;negative
14757248;negative
9435103;negative
9929402;negative
1955864;negative
